val_loss,epoch,step,train_loss
0.24831097353144058,0,51406,
,1,51406,0.531738330591446
0.1525467177446061,1,102813,
,2,102813,0.17527667272821718
0.11352927505044472,2,154220,
,3,154220,0.13464369127187814
0.08572789776597893,3,205627,
,4,205627,0.1085336019931287
0.07397426011259253,4,257034,
,5,257034,0.08773709102479481
0.05211108591723478,5,308441,
,6,308441,0.07064821986740957
0.04654145458731091,6,359848,
,7,359848,0.05611750263297072
0.06319256891218526,7,411255,
,8,411255,0.04366352544832952
0.03232445281323639,8,462662,
,9,462662,0.03321424898435596
0.030961217034371328,9,514069,
,10,514069,0.022802058030544175
0.016819004986142246,10,565476,
,11,565476,0.014057828833830069
0.012626872170451504,11,616883,
,12,616883,0.005303693431466656
0.02324532248094139,12,668290,
,13,668290,-0.002345548391167668
0.024306829321671396,13,719697,
,14,719697,-0.009575052578591427
-0.000942735705762861,14,771104,
,15,771104,-0.01606200975287495
